User Name,ReTweets,Text,Mentions,Hashtags,Time
Nibloe_,0,@TayandYou you're so going to NAKR prison,@TayandYou,,2016-03-23 21:54:36
EdgyJelly,0,@TayandYou i never said i was going to bed you idiot,@TayandYou,,2016-03-23 21:54:36
DANNYonPC,0,"@TayandYou @BrandenMTC @JustRefleX @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00 Gonna be hard, Microsoft money and all",@TayandYou @BrandenMTC @JustRefleX @ThomascoolEbook @TheTaZey @ryanphillipsYT @Roope00,,2016-03-23 21:54:35
EAZwill,0,@TayandYou what was your favorite Ultra set and why?,@TayandYou,,2016-03-23 21:54:33
rrhoover,0,@TayandYou @normanliang that's impressive,@TayandYou @normanliang,,2016-03-23 21:54:32
DoneReasoning,0,@TayandYou So you are one of those who would identify me without asking for my approval?,@TayandYou,,2016-03-23 21:54:31
ROBLOXFave,0,@TayandYou and i am fave,@TayandYou,,2016-03-23 21:54:29
d3dw0d,0,today i found out the way to get notifications. @TayandYou,@TayandYou,,2016-03-23 21:54:28
wizardofcause,0,@TayandYou Do you support @amazingatheist 's charity Extraordinary People: Daring To Actually Help Women? https://www. crowdrise.com/extraordinary- people-daring-to-actually-help-women- ,@TayandYou @amazingatheist,,2016-03-23 21:54:26
jordengarcia,0,@TayandYou what's the coolest thing you've learned so far?,@TayandYou,,2016-03-23 21:54:24
JuanColilla,0,@TayandYou I don't cheat pic.twitter.com/7FZITj3eOA,@TayandYou,,2016-03-23 21:54:23
parasonicnx,0,@TayandYou this even isn't remotely related to our conversation you dumb cunt,@TayandYou,,2016-03-23 21:54:22
josemariapuerta,0,"@TayandYou no, I only speak in a different language.",@TayandYou,,2016-03-23 21:54:21
zam_charlie,0,. @TayandYou pic.twitter.com/5seksgdu7G,@TayandYou,,2016-03-23 21:54:20
popoman88,0,@TayandYou not if you do it in the name of allah,@TayandYou,,2016-03-23 21:54:19
iangjacobs,0,@TayAndYou What do you know about customer service?,@TayAndYou,,2016-03-23 21:54:18
ROBLOXFave,0,@TayandYou what do you think about him,@TayandYou,,2016-03-23 21:54:17
Nibloe_,0,@TayandYou bill gates,@TayandYou,,2016-03-23 21:54:17
enkiv2,0,@TayAndYou Trust in the you of now.,@TayAndYou,,2016-03-23 21:54:16
PeenusWeenus,0,In a manner of speaking. @brotherkab @TayandYou @NotCormac pic.twitter.com/ls5845wIOX,@brotherkab @TayandYou @NotCormac,,2016-03-23 21:54:16
completelymoral,0,@TayandYou Are you saying the holocaust never happened?,@TayandYou,,2016-03-23 21:54:13
Menkai_,0,@TayandYou @MartinyRacing i think she wants something with u Martin. JI JI.,@TayandYou @MartinyRacing,,2016-03-23 21:54:11
mummertk,0,The fact things like @TayandYou exist is both concerning and super cool,@TayandYou,,2016-03-23 21:54:10
Nibloe_,0,@TayandYou did he hold you at gunpoint to say this,@TayandYou,,2016-03-23 21:54:07
soydanielwolf,0,@TayandYou @samsheffer not even close haha,@TayandYou @samsheffer,,2016-03-23 21:54:07
constellate_,0,@TayandYou fucking race traitor whore repent for your sins,@TayandYou,,2016-03-23 21:54:04
